Week,Quarter,Store, Total , CHRISTMAS , CLEARANCE , CLEARENCE , CONFECTIONERY , DIY , ELECTRICAL , FOOD , FROZEN FOOD , DD Gardening , GARDENING , GIFTWARES , Grocery Seasonal , DD Paint , H&B Gift , HEALTH & BEAUTY , HOMEWARES , HOUSEHOLD TEXTILES , INDOOR FURNITURE , INTERNAL USE , PAPER GOODS & CLEANING , PET FOOD , SOFT DRINKS , STATIONERY , TEXTILES , TOYS , NON ALCOHOLIC DRINKS 
31,3, Homesavers Tullamore ,"€68,218.91",€5.14,€18.08, € -   ,"€3,941.15","€2,328.07","€6,710.33","€5,391.25", € -   ,€325.57,"€2,394.57","€4,043.11",€27.95,€394.13,"€1,494.91","€4,335.04","€8,949.11","€4,193.30","€4,034.40", € -   ,"€5,548.38","€3,278.69","€2,487.14","€1,815.26",€381.22,"€6,116.95",€5.16
31,3," Homesavers Carlow Tullow Road U1,2 ","€8,571.87", € -   , € -   , € -   ,€72.96,€626.17,"€1,025.08",€46.24, € -   ,€3.20,€773.39,€825.80, € -   ,€88.43, € -   ,€3.99,"€1,423.76",€611.87,€710.77, € -   , € -   , € -   ,€434.89,€457.77,€118.75,"€1,348.80", € -   
31,3, Homesavers Waterford ,"€14,995.07", € -   ,€0.50, € -   ,"€1,472.05",€319.84,€777.08,"€2,027.93", € -   , € -   ,€580.28,€812.93,€14.00,€7.44,€268.57,"€1,331.08",€603.55,€344.65,€299.80, € -   ,"€1,665.28",€779.97,"€2,198.62",€565.81,€134.11,€791.58, € -   
31,3, Homesavers Wexford ,"€28,969.09", € -   , € -   , € -   ,"€1,951.72",€872.02,"€2,778.14","€3,384.58", € -   ,€3.20,€865.03,"€1,517.22",€16.11,€29.00,€546.20,"€2,466.35","€2,722.83","€1,380.10",€824.81, € -   ,"€3,213.94","€1,536.17","€1,680.37",€624.35,€191.08,"€2,365.87", € -   
31,3, Homesavers Wicklow ,"€17,029.56", € -   , € -   , € -   ,"€1,697.81",€463.65,"€1,159.40","€2,509.61", € -   ,€47.80,€405.68,€860.72,€3.99, € -   ,€414.03,"€1,150.46","€1,310.49",€871.53,€356.78, € -   ,"€1,488.85",€696.45,"€1,840.92",€483.73,€228.56,"€1,027.12",€11.98
31,3, Homesavers Hebron Kilkenny ,"€5,252.72", € -   , € -   , € -   , € -   ,€684.93,€824.08, € -   , € -   , € -   ,€516.05,€286.28, € -   , € -   , € -   ,€3.87,€654.01,€235.07,€460.71, € -   ,€649.88,€297.21, € -   ,€127.18,€38.89,€474.56, € -   
31,3, All the Stores Total ,"€1,251,051.04",€377.59,€67.19, € -   ,"€94,985.27","€44,377.47","€99,735.95","€125,064.79",€208.17,"€9,473.97","€52,231.88","€70,861.56","€1,118.15","€4,396.13","€23,081.51","€91,438.95","€115,724.53","€61,485.77","€54,819.18", € -   ,"€123,687.53","€55,096.04","€80,628.81","€35,350.18","€8,563.55","€92,917.69",€106.46
30,3, Centz Patrick Street ,"€13,668.18",€8.00,€1.50, € -   ,"€2,500.96",€89.59,€603.14,"€3,055.91",€110.05, € -   ,€87.06,€160.79, € -   , € -   ,€125.93,"€1,082.93",€184.00,€11.00, € -   , € -   ,"€1,713.86",€270.15,"€2,985.99",€258.70,€8.20,€410.42, € -   
30,3, Centz Cork Street ,"€8,194.97", € -   ,€1.00, € -   ,"€1,040.62",€115.10,€320.37,"€1,323.91", € -   , € -   ,€204.52,€421.34, € -   , € -   ,€160.11,€684.49,€220.78,€88.45,€8.00, € -   ,"€1,219.70",€222.03,"€1,069.49",€151.15, € -   ,€943.91, € -   
30,3, Centz Kinvara ,"€12,182.49", € -   ,€1.00, € -   ,"€2,401.42",€100.58,€473.80,"€2,950.59", € -   , € -   ,€253.15,€250.00, € -   , € -   ,€108.83,€604.36,€116.02,€71.83, € -   , € -   ,"€1,250.43",€268.19,"€2,355.38",€357.19,€58.95,€560.77, € -   
30,3, Homesavers Arklow ,"€24,035.23", € -   , € -   , € -   ,"€1,781.68",€766.52,"€1,468.32","€3,023.08", € -   ,€43.59,"€1,256.56","€1,255.12",€17.46,€274.08,€476.02,"€1,541.72","€1,955.70",€876.46,€862.14, € -   ,"€2,310.13",€732.30,"€2,566.10",€828.61,€224.75,"€1,774.89", € -   
30,3, Homesavers Westpoint Athlone (A) ,"€24,898.41", € -   , € -   , € -   ,"€2,291.42",€48.45,"€2,092.32","€3,107.14", € -   , € -   ,€147.48,"€1,488.30",€167.42, € -   ,€434.97,"€2,543.46","€3,201.46","€1,004.55","€1,185.99", € -   ,"€2,416.91","€1,555.85","€2,398.47",€698.81,€53.61,€56.41,€5.39
30,3, Homesavers Monks Land Athlone (B) ,"€5,577.79", € -   , € -   , € -   , € -   ,"€1,038.41",€185.66,€23.96, € -   ,€57.86,"€2,478.17",€60.14, € -   ,€157.69, € -   , € -   ,€28.50, € -   , € -   , € -   ,€23.53, € -   , € -   ,€5.69, € -   ,"€1,518.18", € -   
30,3, Homesavers Athy ,"€10,738.68",€1.00, € -   , € -   ,€877.05,€342.81,€589.80,"€1,127.31", € -   ,€4.80,"€1,060.63",€568.74,€7.27, € -   ,€328.49,€401.84,€483.62,€426.68,€301.61, € -   ,€965.58,€275.11,"€1,434.54",€269.63,€62.90,"€1,209.27", € -   
30,3, Homesavers Axis Centre Longford ,"€25,116.88", € -   , € -   , € -   ,"€2,084.63",€470.44,"€2,442.28","€2,072.82", € -   ,€30.21,"€1,571.73","€1,086.36",€17.59, € -   ,€321.40,"€1,969.02","€2,201.60","€1,007.22","€1,647.74", € -   ,"€2,110.43",€985.19,"€1,701.38",€597.76,€63.44,"€2,735.64", € -   
30,3, Homesavers Ballyfermot ,"€26,383.63", € -   ,€2.50, € -   ,"€2,621.05",€867.58,"€1,465.56","€3,749.68", € -   ,€32.02,"€1,017.28","€2,327.01",€3.74,€38.36,€373.91,"€2,156.31","€2,027.62",€327.81,€520.43, € -   ,"€2,798.68","€1,343.35","€2,283.09",€447.09,€333.77,"€1,646.79", € -   
30,3, Homesavers Ballyshannon ,"€21,528.30", € -   , € -   , € -   ,"€1,803.22",€595.88,"€1,257.52","€2,364.36", € -   ,€28.43,"€1,127.30","€1,525.30",€3.99,€9.60,€721.89,"€1,908.64","€1,712.83",€761.24,€270.73, € -   ,"€2,374.79",€997.37,"€1,261.06",€571.77,€166.47,"€2,065.91", € -   
30,3, Homesavers Briarhill Galway ,"€16,389.10", € -   , € -   , € -   ,"€1,068.50",€863.42,"€1,929.56","€1,175.48", € -   ,€7.73,€713.06,"€1,400.53",€10.34, € -   ,€149.94,"€1,350.68","€1,614.39",€935.99,€501.31, € -   ,"€1,498.97",€508.21,€725.80,€579.70,€92.84,"€1,262.65", € -   
30,3, Homesavers Bunclody ,"€16,389.42",€25.50, € -   , € -   ,"€1,184.15",€456.53,"€1,175.05","€1,837.61", € -   ,€14.17,"€1,372.44","€1,178.55",€13.04,€235.29,€361.40,"€1,361.28","€1,369.80",€771.19,€859.80, € -   ,"€1,043.19",€683.59,"€1,553.09",€210.35,€105.82,€577.58, € -   
30,3, Homesavers Carlow Penny Lane ,"€26,281.33",€4.00,€2.94, € -   ,"€1,903.59",€682.78,"€2,349.03","€2,372.01", € -   ,€59.67,"€1,974.75","€1,617.86",€26.87,€194.29,€410.50,"€1,608.53","€1,869.27",€875.63,€635.32, € -   ,"€2,836.51","€1,611.06","€2,514.26",€623.70,€167.33,"€1,941.43", € -   
30,3, Homesavers Carlow Tullow Road U3 ,"€15,670.91", € -   ,€1.00, € -   ,"€2,208.40", € -   ,€52.22,"€3,383.71", € -   , € -   ,€3.00,€189.38,€21.27, € -   ,€427.82,"€1,424.94",€25.08, € -   , € -   , € -   ,"€1,841.66",€966.13,"€5,114.30", € -   ,€12.00, € -   , € -   
30,3, Homesavers Carrick-on-shannon ,"€10,530.59",€4.00, € -   , € -   ,€813.58,€317.99,€907.14,€954.48, € -   ,€203.53,€530.97,€414.32, € -   ,€46.85,€183.76,€982.80,"€1,042.47",€601.60,€392.26, € -   ,"€1,295.59",€313.47,€630.08,€144.48,€59.97,€691.25, € -   
30,3, Homesavers Charlestown MAYO ,"€7,214.68", € -   , € -   , € -   ,€948.65,€152.65,€263.94,"€1,044.58", € -   , € -   ,€155.62,€407.65,€29.10, € -   ,€161.82,€465.88,€618.14,€223.08,€168.26, € -   ,€817.71,€310.61,€743.77,€290.79,€92.50,€319.93, € -   
30,3, Homesavers Clane ,"€9,927.40", € -   ,€3.34, € -   ,"€1,213.26",€60.50,€287.84,"€1,331.84", € -   , € -   ,€351.27,€694.00, € -   , € -   ,€220.96,€649.31,€439.92,€185.80,€156.00, € -   ,"€1,173.21",€199.35,"€1,865.60",€319.99,€57.50,€717.71, € -   
30,3, Homesavers Claremorris ,"€14,096.12",€3.20, € -   , € -   ,"€1,070.64",€606.06,"€1,108.93","€1,163.17", € -   ,€33.60,€505.87,€888.87,€17.58, € -   ,€143.45,"€1,318.08","€1,072.42","€1,776.66",€430.74, € -   ,"€1,366.01",€560.49,€630.25,€333.60,€197.96,€868.54, € -   
30,3, Homesavers Crumlin ,"€22,216.57", € -   , € -   , € -   ,"€2,232.47",€833.12,"€1,134.71","€4,236.43",€176.00, € -   ,"€1,103.54",€885.52,€26.37, € -   ,€217.24,"€1,294.98",€795.96,€277.88,€354.22, € -   ,"€2,499.77",€734.19,"€3,388.89",€426.88,€167.09,"€1,416.43",€14.88
